date,pm25,pm10,o3,no2,so2,co
2/10/2022,42,20,29,5,0,1
2/9/2022,44,14,35,2,0,1
2/8/2022,59,13,31,2,0,1
2/7/2022,82,20,27,9,1,3
2/6/2022,51,30,36,2,0,1
2/5/2022,29,16,32,1,0,1
2/4/2022,21,9,22,1,0,1
2/3/2022,31,7,26,1,0,2
2/2/2022,65,8,29,3,1,2
2/1/2022,55,24,30,4,0,2
1/31/2022,39,18,26,1,1,1
1/30/2022,32,12,25,1,1,1
1/29/2022,29,12,33,1,1,0
1/28/2022,58,13,33,2,1,1
1/27/2022,66,21,40,5,0,2
1/26/2022,56,24,36,11,0,5
1/25/2022,49,20,38,5,0,7
1/24/2022,63,16,28,7,1,6
1/23/2022,31,20,24,16,2,8
1/22/2022,44,9,18,13,0,6
1/21/2022,61,14,36,4,6,5
1/20/2022,47,33,41,4,0,2
1/19/2022,27,23,43,7,0,3
1/18/2022,52,15,31,9,0,2
1/17/2022,98,27,32,6,1,4
1/16/2022,102,46,42,9,2,4
1/15/2022,141,48,49,6,3,4
1/14/2022,122,51,53,3,3,5
1/13/2022,116,55,51,10,5,5
1/12/2022,58,44,44,2,2,5
1/11/2022,81,30,36,7,2,6
1/10/2022,76,37,45,8,3,5
1/9/2022,64,35,45,8,3,4
1/8/2022,54,33,42,3,1,3
1/7/2022,79,29,39,3,1,3
1/6/2022,84,47,31,13,2,4
1/5/2022,91,40,28,14,3,4
1/4/2022,93,47,48,12,4,4
1/3/2022,91,45,57,5,2,3
1/2/2022,73,49,44,11,4,3
1/1/2022,113,36,49,4,2,4
12/31/2021,80,49,49,4,3,4
12/30/2021,99,41,40,4,2,4
12/29/2021,71,44,37,9,3,6
12/28/2021,96,28,34,6,2,4
12/27/2021,70,39,34,6,3,4
12/26/2021,77,29,28,5,1,4
12/25/2021,108,45,36,3,1,4
12/24/2021,66,54,9,20,8,7
12/23/2021,59,36,28,11,3,3
12/22/2021,54,28,30,8,1,5
12/21/2021,76,17,13,16,1,5
12/20/2021,101,34,30,14,2,4
12/19/2021,146,55,44,4,2,3
12/18/2021,92,63,44,3,3,5
12/17/2021,82,50,36,5,1,9
12/16/2021,68,38,38,13,4,8
12/15/2021,55,38,39,10,4,8
12/14/2021,86,30,44,4,1,6
12/13/2021,103,41,41,2,2,7
12/12/2021,77,55,53,10,4,7
12/11/2021,68,39,70,3,2,4
12/10/2021,82,44,49,13,2,4
12/9/2021,64,46,39,17,5,3
12/8/2021,61,38,60,6,1,1
12/7/2021,72,41,63,6,2,1
12/6/2021,59,44,38,15,6,3
12/5/2021,83,39,39,13,4,2
12/4/2021,89,48,49,7,3,2
12/3/2021,75,53,43,16,5,3
12/2/2021,75,43,46,7,3,3
12/1/2021,71,43,40,5,3,2
11/30/2021,39,37,32,11,3,4
11/29/2021,41,19,29,10,2,3
11/28/2021,63,20,32,3,1,2
11/27/2021,68,42,44,3,2,2
11/26/2021,75,48,37,11,3,3
11/25/2021,66,47,45,12,5,5
11/24/2021,65,44,44,6,3,4
11/23/2021,40,32,25,7,2,6
11/22/2021,67,22,26,7,2,5
11/21/2021,57,43,46,8,3,4
11/20/2021,59,38,40,8,2,3
11/19/2021,64,35,35,9,3,4
11/18/2021,54,34,24,11,4,5
11/17/2021,76,26,30,10,2,4
11/16/2021,71,45,36,11,4,4
11/15/2021,65,43,39,9,3,3
11/14/2021,68,36,44,5,3,3
11/13/2021,67,36,44,7,3,4
11/12/2021,75,39,57,5,3,3
11/11/2021,60,45,51,11,6,2
